id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗,猫が2匹以上写っている,成約した
320_017.jpg,5,3,2,3,4,4,1,0,1
320_020.jpg,4,4,3,5,3,3,3,0,1
320_021.jpg,4,4,3,5,3,3,2,0,0
320_023.jpg,5,5,2,2,2,1,3,0,0
320_029.jpg,4,2,2,3,2,4,2,0,0
321_001.jpg,5,2,2,3,3,3,3,0,1
321_003.jpg,5,4,3,4,3,3,3,0,0
321_007.jpg,5,4,2,4,2,3,3,0,1
321_008.jpg,5,2,3,4,3,4,2,0,0
321_009.jpg,5,1,1,2,4,3,2,1,0
321_012.jpg,5,2,5,5,2,1,2,0,0
321_019.jpg,5,4,3,5,2,3,3,0,0
321_021.jpg,5,2,4,3,3,4,4,0,0
321_025.jpg,5,3,2,3,4,4,3,0,1
321_028.jpg,5,2,1,4,4,3,3,0,1
322_001.jpg,4,5,3,4,3,3,2,0,1
322_007.jpg,5,3,4,5,3,4,2,0,0
322_010.jpg,5,2,3,3,3,4,2,0,1
322_013.jpg,4,5,3,5,2,1,3,0,0
322_014.jpg,5,5,2,3,2,2,2,0,0
322_015.jpg,3,5,3,2,2,2,3,0,0
322_021.jpg,5,2,1,3,3,3,2,1,0
322_023.jpg,4,4,4,4,3,4,3,0,1
322_024.jpg,4,3,5,2,4,3,3,0,1
323_003.jpg,4,5,4,5,2,2,3,0,0
323_012.jpg,4,5,4,5,3,3,2,0,0
323_019.jpg,5,3,4,3,4,3,3,0,0
323_020.jpg,5,2,1,3,5,3,3,0,1
323_024.jpg,5,4,3,5,4,3,3,0,1
323_025.jpg,5,3,1,3,3,3,2,1,0
324_000.jpg,5,3,1,4,3,3,3,0,1
324_001.jpg,5,3,4,2,3,3,2,0,0
324_011.jpg,5,3,3,5,5,1,3,0,1
324_014.jpg,4,4,2,4,4,2,2,0,0
324_016.jpg,4,1,3,4,3,4,2,0,0
324_017.jpg,5,3,3,3,3,3,3,0,0
324_018.jpg,5,1,2,3,4,3,3,0,1
324_022.jpg,5,2,1,2,4,3,3,0,1
324_028.jpg,5,3,3,3,2,3,2,0,0
325_004.jpg,5,5,5,5,2,2,2,0,0
325_007.jpg,5,5,3,5,3,2,3,0,1
325_008.jpg,5,3,5,2,3,3,2,0,0
325_021.jpg,5,4,4,3,1,3,1,0,0
325_022.jpg,5,3,4,2,4,4,1,0,0
325_023.jpg,5,4,3,5,5,3,3,0,1
325_024.jpg,4,4,5,5,4,2,3,0,1
325_027.jpg,5,3,4,4,3,3,2,0,0
325_028.jpg,5,3,3,4,3,3,2,0,0
326_000.jpg,5,1,2,4,4,3,3,0,1
326_008.jpg,4,3,4,5,3,3,3,0,0
326_016.jpg,5,3,4,3,3,3,2,0,0
326_019.jpg,5,3,3,4,4,5,3,0,1
326_029.jpg,5,3,4,5,4,3,3,0,1
327_001.jpg,3,3,5,5,3,4,2,0,0
327_008.jpg,5,3,2,3,2,1,3,0,0
327_010.jpg,4,3,5,2,2,5,2,0,0
327_012.jpg,4,3,2,3,3,3,2,0,1
327_014.jpg,5,4,3,3,3,3,2,0,0
327_025.jpg,4,4,3,5,3,3,4,0,0
328_005.jpg,5,3,2,3,4,3,2,0,1
328_010.jpg,3,5,5,2,2,2,3,0,0
328_011.jpg,5,5,5,3,3,3,3,0,0
328_013.jpg,5,2,1,3,4,2,3,0,1
328_022.jpg,5,3,1,4,3,3,3,0,1
329_012.jpg,5,4,1,3,3,3,3,0,0
329_016.jpg,3,5,3,4,3,3,3,0,0
329_021.jpg,5,3,2,5,4,3,2,0,1
329_024.jpg,3,3,4,4,3,4,3,0,0
329_026.jpg,5,5,4,5,3,3,3,0,1
330_004.jpg,4,4,3,5,3,3,3,0,0
330_009.jpg,5,3,2,3,4,3,3,0,0
330_018.jpg,5,3,3,3,3,2,4,0,0
330_022.jpg,3,1,2,3,4,3,3,0,1
330_028.jpg,3,4,1,3,4,2,3,0,0
331_013.jpg,5,3,3,4,4,3,2,0,1
331_016.jpg,5,2,2,3,3,4,3,1,0
331_018.jpg,5,4,2,5,5,2,3,0,1
331_019.jpg,5,3,5,3,2,5,2,0,0
331_021.jpg,5,4,1,3,2,2,2,0,0
331_024.jpg,5,1,2,3,3,3,3,0,1
332_007.jpg,5,2,3,3,3,4,3,0,0
332_010.jpg,5,3,2,4,3,3,2,0,0
332_014.jpg,5,3,3,4,3,3,3,0,0
332_018.jpg,3,4,3,4,3,3,2,0,1
332_028.jpg,5,2,3,3,4,3,2,0,1
333_003.jpg,5,5,4,2,4,2,2,0,0
333_007.jpg,5,4,5,5,3,3,3,0,0
333_012.jpg,5,4,2,4,4,4,2,0,0
333_013.jpg,5,2,2,3,4,3,2,0,1
333_023.jpg,5,3,4,5,4,4,3,0,1
333_025.jpg,5,1,2,3,3,3,3,0,1
334_001.jpg,4,1,3,4,3,4,2,0,1
334_002.jpg,5,3,2,2,3,2,3,0,0
334_007.jpg,3,5,4,5,1,3,3,0,0
334_009.jpg,4,4,1,4,4,4,2,0,0
334_016.jpg,5,4,2,5,3,3,3,0,1
334_017.jpg,4,3,2,3,3,2,2,0,0
334_028.jpg,5,5,4,4,3,3,2,0,1
335_007.jpg,5,3,3,3,3,3,2,0,0
335_008.jpg,4,2,2,3,3,3,2,0,0
