id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
37,16,12,20,16,12,12,8
85,20,16,9,16,13,14,12
86,20,16,14,18,15,13,13
308,12,9,9,10,12,13,9
355,12,11,9,17,9,11,6
860,18,15,11,19,14,13,12
861,16,14,12,13,10,13,10
922,14,13,8,9,11,15,9
943,20,9,10,9,15,14,11
959,20,12,15,12,11,12,7
960,20,13,12,15,10,16,7
961,12,10,16,15,15,17,9
962,10,15,17,14,13,15,11
963,18,13,17,17,15,15,9
964,19,15,9,19,11,12,11
979,16,13,13,17,14,13,11
1019,19,17,8,4,12,15,5
1020,10,13,10,7,12,12,5
1021,19,16,8,11,16,14,7
1084,12,18,14,17,11,14,12
1103,20,16,8,16,15,13,10
1201,16,17,15,19,18,14,12
1202,15,13,9,9,12,15,13
1203,12,14,11,15,14,13,12
1287,18,13,10,15,14,12,12
1607,16,12,15,16,13,12,11
1622,12,18,13,13,14,12,11
1755,9,15,12,17,13,13,13
1756,19,17,12,18,16,12,11
1810,19,12,18,17,15,14,12
2080,15,20,13,19,14,15,11
2213,16,19,12,8,10,15,8
2214,18,11,15,11,16,14,8
2215,18,12,13,9,14,12,10
2216,14,13,12,10,12,14,11
2363,20,18,15,19,14,13,12
2372,5,5,13,8,14,9,10
2392,20,11,13,14,8,16,14
2393,18,19,9,6,8,13,13
2397,20,17,12,8,11,12,5
2585,13,13,14,17,15,15,11
2612,16,10,14,12,13,10,9
2613,10,15,15,18,18,12,12
2673,18,14,11,19,14,15,12
2674,11,18,11,19,16,12,12
2675,19,14,12,11,14,12,12
2676,17,11,17,16,13,12,12
2782,19,13,12,15,14,12,12
2784,20,11,18,15,15,12,12
2811,13,14,11,13,13,12,12
2813,13,11,12,12,14,11,9
2923,15,19,15,10,16,12,11
3096,17,12,12,15,12,12,11
3120,18,19,17,12,13,12,10
3128,19,18,16,17,8,12,12
3161,18,11,10,7,13,15,12
3193,7,19,12,9,11,12,8
3226,15,12,17,17,12,14,12
3292,16,16,12,10,9,12,10
3293,17,13,13,16,10,16,12
3294,19,15,14,16,14,12,11
3295,12,13,10,17,13,14,11
3383,15,14,15,17,15,12,12
3403,20,16,13,20,18,12,12
3421,20,14,15,16,12,12,11
3422,14,12,20,12,9,12,12
3423,18,13,12,13,11,12,12
3424,18,15,13,14,13,12,11
3425,14,16,11,14,12,10,12
3462,19,13,16,15,14,14,12
3536,12,14,14,11,18,12,12
3537,13,14,14,15,17,14,13
3538,17,15,14,17,16,12,12
3539,19,14,17,16,19,14,13
3560,11,11,13,15,13,14,12
3573,17,14,13,14,14,14,12
3621,15,13,13,14,12,13,12
3629,20,16,12,15,16,15,12
3633,15,16,13,18,14,12,12
3634,13,14,13,15,15,13,12
3642,19,13,12,15,8,12,11
3646,18,12,10,17,13,16,12
3647,18,14,10,15,15,13,11
3648,12,14,12,16,14,12,11
3649,19,16,12,8,17,15,14
3650,11,9,17,15,14,12,12
3655,18,12,10,10,13,16,10
3660,19,10,6,15,16,14,10
3661,14,13,14,16,16,14,11
3666,8,13,8,16,13,12,12
3686,17,18,12,15,15,15,9
3687,13,13,11,14,15,13,12
3688,19,19,13,10,16,12,12
3690,15,17,14,10,15,14,10
3694,18,20,11,19,17,12,12
3695,19,18,16,18,15,12,12
3696,12,17,18,17,17,12,11
3697,15,15,18,14,16,14,10
3706,20,18,14,14,15,14,12
3707,19,13,10,16,13,12,13
3708,17,18,14,17,18,15,12
3712,17,11,9,17,18,12,12
3744,11,11,11,16,15,14,11
3745,20,15,10,16,14,12,12
3746,18,12,15,17,16,14,11
3748,15,14,10,9,14,12,11
3749,11,15,10,9,14,11,11
3750,12,19,13,17,15,11,11
3770,19,13,11,12,13,14,9
3795,18,18,16,16,14,13,16
3857,20,19,9,18,15,11,13
3865,19,11,12,12,12,12,13
3882,16,16,12,14,9,15,11
3890,13,10,13,10,14,10,11
3891,12,10,11,11,14,12,9
3906,19,20,17,9,15,12,10
3929,16,16,15,16,16,12,11
3935,18,14,8,16,16,16,11
3943,18,17,15,16,11,15,12
3945,16,17,10,18,16,11,12
3946,19,14,17,15,16,16,12
3947,20,15,13,15,14,14,12
3948,15,17,19,18,18,12,12
3968,18,16,13,15,14,12,12
3971,19,16,13,18,18,12,12
3973,19,15,10,16,16,14,9
3974,12,14,9,17,16,11,11
3976,18,15,15,17,16,13,12
3978,20,18,12,17,15,12,13
3995,20,16,10,16,15,16,11
3996,17,16,10,16,15,15,10
4007,17,20,15,19,20,12,11
4008,17,20,16,17,15,12,11
4009,20,20,17,18,18,12,12
4037,18,13,8,17,15,14,9
4038,10,16,13,16,13,15,12
4039,20,17,16,19,19,12,12
4040,5,13,14,13,12,12,9
4041,4,11,11,8,9,11,10
4043,10,12,13,15,14,15,9
4045,17,17,14,16,16,13,12
4046,8,12,13,10,12,15,9
4060,16,16,15,18,18,17,12
4062,9,20,17,14,11,12,12
4073,16,12,12,15,14,13,12
4075,14,20,12,18,14,12,12
4111,20,14,15,17,15,15,9
4115,18,12,17,17,17,11,12
4116,19,14,12,14,15,16,11
4136,19,15,17,17,17,12,12
4138,11,19,19,20,19,12,11
4153,18,16,14,15,16,13,12
4182,16,15,10,18,18,13,12
4185,20,20,9,18,18,11,11
