id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
37,4,3,5,4,3,3,2
85,5,5,3,4,3,3,3
86,5,5,4,5,4,4,3
308,3,3,2,3,3,3,2
355,4,4,3,5,2,2,2
860,5,5,4,5,3,3,3
861,5,5,5,5,2,3,3
922,5,4,3,4,3,2,2
943,5,2,3,4,5,2,2
959,5,3,4,4,3,2,2
960,5,5,4,5,3,4,2
961,3,3,5,5,5,4,3
962,3,5,5,5,3,4,3
963,5,4,5,5,5,3,3
964,5,5,3,5,3,3,3
979,5,4,4,4,4,3,3
1019,5,5,3,1,3,4,1
1020,4,4,3,2,3,3,1
1021,5,5,2,5,5,3,2
1084,3,5,5,4,3,3,3
1103,5,5,2,5,4,3,3
1201,4,5,5,5,5,3,3
1202,4,5,3,3,4,3,3
1203,3,5,4,3,4,3,3
1287,5,5,4,4,4,3,3
1607,4,4,5,5,4,3,3
1622,3,5,4,3,3,3,3
1755,2,5,3,4,3,3,4
1756,5,5,3,5,5,3,3
1810,5,3,5,5,4,3,3
2080,4,5,4,4,3,3,3
2213,3,5,5,2,3,3,2
2214,5,3,4,4,4,3,2
2215,4,3,3,3,3,3,3
2216,3,3,4,3,3,3,3
2363,5,5,5,5,4,3,3
2372,1,1,3,3,2,3,2
2392,5,3,4,5,3,3,3
2393,5,5,3,2,3,3,3
2397,5,5,4,3,3,3,1
2585,4,4,5,5,5,3,3
2612,3,3,4,3,4,3,2
2613,3,5,5,5,5,3,3
2673,5,3,3,5,3,3,3
2674,4,5,4,5,5,3,3
2675,4,4,3,4,5,3,3
2676,4,3,5,4,3,3,3
2782,5,4,3,5,4,3,3
2784,5,3,5,5,3,3,3
2811,4,4,4,3,4,3,3
2813,3,3,3,2,3,2,2
2923,5,5,5,2,4,3,2
3096,5,3,3,5,3,3,2
3120,4,5,5,5,3,3,2
3128,5,5,5,5,3,3,3
3161,4,3,3,2,4,3,3
3193,2,5,4,2,2,3,2
3226,4,3,5,3,3,3,3
3292,3,5,4,3,3,3,3
3293,3,3,4,5,3,4,3
3294,5,5,5,4,3,3,3
