id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
37,4,3,5,4,3,3,2
85,5,4,2,4,3,3,4
86,5,4,3,4,4,3,4
308,2,2,2,1,3,3,3
355,2,2,2,4,2,3,1
860,4,3,2,5,4,3,3
861,3,3,2,4,2,3,3
922,3,3,2,2,3,4,2
943,5,2,2,2,4,4,4
959,5,4,3,2,2,4,1
960,5,3,3,2,2,4,1
961,3,2,3,4,4,5,1
962,2,4,3,3,3,4,3
963,4,3,3,4,3,4,1
964,5,4,2,5,2,3,3
979,3,3,3,4,3,3,3
1019,5,5,1,1,3,3,1
1020,2,3,2,2,3,3,1
1021,4,4,2,2,3,3,2
1084,4,5,3,4,2,3,3
1103,5,4,2,4,3,3,3
1201,4,4,4,5,4,3,3
1202,3,3,2,2,3,4,4
1203,3,4,2,4,3,3,3
1287,3,3,2,3,3,3,3
1607,4,3,3,4,4,3,3
1622,3,5,3,5,4,3,3
1755,3,4,3,4,4,3,3
1756,4,4,3,4,3,3,3
1810,5,4,5,5,4,4,3
2080,4,5,3,5,4,4,3
2213,5,5,3,2,2,4,2
2214,5,2,4,2,5,3,2
2215,5,3,4,2,4,3,3
2216,5,4,2,2,3,3,3
2363,5,5,3,4,2,3,3
2372,1,1,3,1,5,2,3
2392,5,3,3,3,1,4,4
2393,5,5,2,1,1,3,5
2397,5,4,3,2,2,3,1
2585,3,3,3,5,3,4,3
2612,5,2,3,2,2,2,4
2613,2,4,3,4,4,3,3
2673,5,4,3,5,4,4,3
2674,2,5,3,5,4,3,3
2675,5,4,3,3,3,3,3
2676,4,2,4,4,4,3,3
2782,5,3,3,4,4,3,3
2784,5,3,4,4,4,3,3
2811,2,4,2,4,3,3,3
2813,2,2,3,3,4,3,2
2923,3,5,4,3,4,3,3
3096,4,3,3,3,3,3,3
3120,5,5,4,3,4,3,3
3128,5,5,4,4,1,3,3
3161,5,3,3,2,3,4,3
3193,1,5,3,3,3,3,2
3226,3,3,4,5,4,3,3
3292,4,4,2,1,1,3,3
3293,5,4,3,4,2,4,3
3294,5,4,3,4,4,3,3
3295,3,4,2,4,3,4,3
3383,5,4,3,4,4,3,3
3403,5,4,3,5,5,3,3
3421,5,4,4,4,3,3,3
3422,4,4,5,3,2,3,3
3423,5,3,3,3,3,3,3
3424,5,4,3,4,4,3,3
3425,4,4,2,4,4,3,3
3462,5,3,4,4,3,3,3
3536,2,2,2,4,4,4,3
3537,3,4,4,5,5,4,4
3538,5,4,3,5,5,3,3
3539,5,3,4,5,5,4,4
3560,2,2,3,3,3,3,3
3573,4,3,3,4,4,4,3
3621,4,3,3,3,3,4,3
3629,5,4,2,4,3,4,3
3633,3,3,3,4,3,3,3
3634,3,3,3,3,4,3,3
