id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗
37,4,3,5,4,3,3,2
85,5,4,3,5,4,4,3
86,5,4,3,5,4,3,3
308,3,2,3,3,3,3,2
355,3,2,3,5,3,3,2
860,5,4,3,5,3,3,3
861,4,3,3,2,3,4,2
922,3,3,2,2,2,4,3
943,5,2,3,2,4,4,3
959,5,2,4,4,4,3,2
960,5,2,3,4,2,4,2
961,3,2,4,3,4,4,3
962,2,3,4,3,4,4,3
963,5,3,4,5,4,4,3
964,4,3,2,5,4,3,3
979,4,3,4,5,4,4,3
1019,4,3,2,1,2,4,2
1020,2,2,2,2,2,3,2
1021,5,3,2,2,4,4,2
1084,2,4,3,5,3,4,3
1103,5,3,2,4,4,4,2
1201,4,4,3,5,5,4,3
1202,4,2,2,2,2,4,3
1203,3,2,2,5,3,4,3
1287,5,2,2,5,4,3,3
1607,4,2,3,4,2,3,3
1622,3,4,3,3,3,3,3
1755,2,2,4,5,3,4,4
1756,5,4,4,5,4,3,3
1810,4,2,4,3,3,4,3
2080,3,5,3,5,4,4,3
2213,3,4,2,2,3,4,2
2214,4,3,3,3,3,4,2
2215,4,3,3,2,4,3,2
2216,3,3,3,2,3,4,3
2363,5,4,3,5,4,4,3
2372,2,1,3,2,3,2,3
2392,5,2,3,3,2,4,4
2393,4,4,2,2,2,3,3
2397,5,4,2,2,3,3,2
2585,3,3,3,3,4,4,3
2612,3,2,3,4,3,3,2
2613,3,3,3,5,5,3,3
2673,4,3,2,5,3,4,3
2674,3,4,2,5,4,3,3
2675,5,3,2,2,3,3,3
2676,4,3,4,5,3,3,3
2782,4,3,3,3,3,3,3
2784,5,2,4,3,3,3,3
2811,3,3,2,3,3,3,3
2813,4,3,3,4,4,3,3
2923,4,4,3,3,4,3,3
3096,4,3,3,3,3,3,3
3120,4,4,4,2,2,3,3
3128,4,4,3,4,2,3,3
3161,4,2,3,2,3,4,3
3193,2,4,2,2,3,3,2
3226,4,3,4,5,3,4,3
3292,4,3,3,3,3,3,2
3293,4,3,3,3,3,4,3
3294,4,3,3,4,4,3,3
3295,3,3,3,5,3,3,3
3383,2,3,3,4,3,3,3
3403,5,3,3,5,5,3,3
3421,5,2,3,4,2,3,3
3422,3,2,5,3,2,3,3
3423,4,2,3,3,2,3,3
3424,4,2,3,3,2,3,3
3425,3,3,3,4,2,2,3
3462,4,3,3,3,3,4,3
3536,3,3,3,2,4,3,3
3537,3,2,2,2,4,3,3
3538,3,2,3,3,3,3,3
3539,5,3,4,3,5,3,3
3560,3,2,3,4,3,4,3
3573,4,3,2,3,3,3,3
3621,4,4,3,4,3,3,3
3629,5,4,3,3,4,4,3
3633,4,4,3,5,4,3,3
3634,3,3,3,4,4,3,3
3642,5,4,3,4,2,3,3
3646,5,3,2,4,3,4,3
3647,4,3,3,4,4,3,3
3648,3,3,2,4,3,3,3
3649,4,3,2,2,4,4,3
3650,3,2,3,4,3,3,3
3655,4,3,2,3,3,4,3
3660,4,3,2,4,4,3,3
3661,3,3,3,4,4,3,3
3666,2,2,2,4,3,3,3
3686,4,4,3,3,4,4,2
3687,3,4,3,5,3,3,3
3688,4,5,3,3,3,3,3
3690,3,4,3,3,3,3,3
3694,5,5,3,5,3,3,3
3695,4,4,3,5,3,3,3
3696,3,3,4,3,3,3,3
3697,4,3,4,3,4,4,3
3706,5,4,4,4,4,4,3
3707,4,3,3,4,3,3,3
3708,4,4,3,5,5,4,3
3712,4,3,3,5,5,3,3
3744,3,3,3,3,4,3,3
3745,5,4,3,4,4,3,3
3746,5,3,4,3,4,3,3
3748,4,4,2,3,3,3,3
3749,4,4,2,3,3,3,3
3750,2,5,2,5,4,3,3
3770,4,3,2,2,2,3,2
3795,3,4,3,4,3,3,3
3857,5,5,3,5,4,3,3
3865,4,3,3,4,3,3,3
3882,3,3,3,3,2,4,3
3890,3,2,2,3,2,2,2
3891,3,2,2,3,2,3,2
3906,4,5,5,3,4,3,3
3929,3,3,3,5,3,3,3
3935,4,3,2,4,4,4,3
3943,4,4,2,3,3,4,2
3945,4,4,3,5,4,3,3
3946,4,3,4,3,4,3,3
3947,5,3,3,3,3,4,3
3948,3,4,4,5,5,3,3
3968,3,3,3,3,3,3,3
3971,5,4,3,5,5,3,3
3973,5,4,3,5,5,3,3
3974,3,3,3,5,5,3,3
3976,4,4,3,5,4,3,3
3978,5,4,3,5,4,3,3
3995,5,4,3,5,4,4,3
3996,5,4,3,5,4,4,3
4007,4,5,3,5,5,3,3
4008,4,5,3,4,4,3,3
4009,5,5,3,5,5,3,3
4037,4,3,3,4,4,3,3
4038,2,3,3,3,3,4,3
4039,5,4,4,5,5,3,3
4040,1,3,3,3,3,3,3
4041,1,2,3,2,2,3,3
4043,4,3,3,5,5,4,3
4045,4,4,4,5,5,3,3
4046,2,3,3,3,3,3,3
4060,4,4,4,5,5,4,3
4062,3,5,4,4,4,3,3
4073,4,3,4,5,4,3,3
4075,4,5,3,5,4,3,3
4111,5,4,4,5,3,3,3
4115,3,3,4,5,4,3,3
4116,4,4,3,3,4,4,3
4136,4,4,4,5,5,3,3
4138,3,5,5,5,5,3,3
4153,4,4,3,4,4,3,3
4182,4,4,2,5,4,3,3
4185,5,5,3,4,4,3,3
4214,3,3,3,3,3,4,3
4221,5,4,4,5,5,3,3
4246,3,3,2,3,4,3,3
4281,4,3,2,3,3,3,2
4282,3,3,5,5,3,4,3
4283,4,5,5,3,3,3,3
4284,5,5,5,4,4,3,3
